Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 221.4 258.5
1983 01 0 1 136.3 167.3
1984 01 0 1 104.8 77.8
1985 01 0 1 1506 1634
1986 01 0 1 143.4 138.9
1987 01 0 1 538.2 830.5
1988 01 0 1 272.1 306.1
1989 01 0 1 225.8 188.3
1990 01 0 0 156.9 191.4
1991 01 0 1 223.4 197.2
1992 01 0 1 842.8 3179
1993 01 0 0 326.9 370.7
1994 01 0 0 171.4 158.2
1995 01 0 1 253.6 303.5
1996 01 0 1 127.3 136.2
1997 01 0 0 147.3 359.7
1998 01 0 1 262.5 280.1
1999 01 0 1 228.5 270.5
2000 01 0 1 143.1 141.9
2001 01 0 1 524.0 549.2
2002 01 0 0 235.3 313.6
2003 01 0 1 180.8 230.1
2004 01 0 0 171.5 157.8
2005 01 0 1 312.8 429.7
2006 01 0 1 130.9 132.4
2007 01 0 1 138.6 99.5
2008 01 0 1 207.5 227.3
2009 01 0 1 104.7 103.5
2010 01 0 1 523.5 184.5
2011 01 0 1 122.7 107.6
2012 01 0 1 124.3 128.3
2013 01 0 0 91.9 54.9
2014 01 0 0 91.1 121.1
2015 01 0 1 82.9 63.1
2016 01 0 1 146.6 214.8
1982 01 1 0 229.664
1983 01 1 1 160.874
1984 01 1 1 99.489
1985 01 1 1 728.661
1986 01 1 1 153.009
1987 01 1 1 488.235
1988 01 1 1 259.357
1989 01 1 1 214.032
1990 01 1 0 158.232
1991 01 1 1 170.79
1992 01 1 1 1737.67
1993 01 1 0 275.921
1994 01 1 0 149.301
1995 01 1 1 240.208
1996 01 1 1 151.831
1997 01 1 0 296.551
1998 01 1 1 217.849
1999 01 1 1 309.467
2000 01 1 1 181.783
2001 01 1 1 401.672
2002 01 1 0 236.188
2003 01 1 1 206.867
2004 01 1 0 148.091
2005 01 1 1 321.554
2006 01 1 1 142.953
2007 01 1 1 125.848
2008 01 1 1 252.25
2009 01 1 1 125.977
2010 01 1 1 156.754
2011 01 1 1 126.648
2012 01 1 1 152.93
2013 01 1 0 80.1898
2014 01 1 0 137.758
2015 01 1 1 86.7464
2016 01 1 1 195.827
1982 02 2 0 256.114
1983 02 2 1 227.962
1984 02 2 0 115.684
1985 02 2 1 2680.37
1986 02 2 1 144.9
1987 02 2 1 712.991
1988 02 2 0 336.126
1989 02 2 1 229.677
1990 02 2 0 190.772
1991 02 2 0 275.114
1992 02 2 1 743.107
1993 02 2 1 340.317
1994 02 2 0 217.923
1995 02 2 1 334.973
1996 02 2 1 130.859
1997 02 2 0 164.878
1998 02 2 1 301.778
1999 02 2 1 223.254
2000 02 2 1 138.927
2001 02 2 1 533.732
2002 02 2 0 270.397
2003 02 2 1 295.402
2004 02 2 0 197.798
2005 02 2 0 405.028
2006 02 2 1 167.886
2007 02 2 0 224.694
2008 02 2 1 194.785
2009 02 2 1 112.729
2010 02 2 1 462.136
2011 02 2 1 100.727
2012 02 2 1 123.089
2013 02 2 0 106.236
2014 02 2 0 154.397
2015 02 2 1 137.395
2016 02 2 1 243.085
1982 03 3 0 314.602
1983 03 3 1 365.025
1984 03 3 0 130.776
1985 03 3 1 404.303
1986 03 3 0 554.292
1987 03 3 1 465.991
1988 03 3 0 278.043
1989 03 3 1 290.639
1990 03 3 0 274.875
1991 03 3 0 237.361
1992 03 3 1 2769.7
1993 03 3 1 511.31
1994 03 3 0 246.174
1995 03 3 0 280.909
1996 03 3 0 165.706
1997 03 3 0 985.207
1998 03 3 1 426.371
1999 03 3 1 138.533
2000 03 3 1 107.827
2001 03 3 0 519.093
2002 03 3 0 291.626
2003 03 3 1 262.748
2004 03 3 0 214.909
2005 03 3 0 381.441
2006 03 3 1 154.09
2007 03 3 0 150.486
2008 03 3 1 193.686
2009 03 3 1 107.407
2010 03 3 1 466.56
