Y	M	Lead	P-Y	P-M	Streamflow_CV
1982 01 0 1982 01 53.8003
1983 01 0 1983 01 64.4003
1984 01 0 1984 01 33.1999
1985 01 0 1985 01 249.9
1986 01 0 1986 01 26.9
1987 01 0 1987 01 294.5
1988 01 0 1988 01 71.1997
1989 01 0 1989 01 29.4001
1990 01 0 1990 01 30.2001
1991 01 0 1991 01 128.699
1992 01 0 1992 01 689.399
1993 01 0 1993 01 78.3001
1994 01 0 1994 01 61.5998
1995 01 0 1995 01 42.3
1996 01 0 1996 01 38.5
1997 01 0 1997 01 39.8
1998 01 0 1998 01 35.2
1999 01 0 1999 01 14.9
2000 01 0 2000 01 12.1999
2001 01 0 2001 01 20.2
2002 01 0 2002 01 20.8999
2003 01 0 2003 01 15.5001
2004 01 0 2004 01 6.13999
2005 01 0 2005 01 58.4001
2006 01 0 2006 01 16.6
2007 01 0 2007 01 13.5
2008 01 0 2008 01 48.7999
2009 01 0 2009 01 12.3999
2010 01 0 2010 01 110.1
2011 01 0 2011 01 33.9999
2012 01 0 2012 01 11.1
2013 01 0 2013 01 8.59997
2014 01 0 2014 01 11.6
2015 01 0 2015 01 9.35003
2016 01 0 2016 01 204.2
1982 01 1 1982 01 55.5828
1983 01 1 1983 01 67.1614
1984 01 1 1984 01 38.228
1985 01 1 1985 01 57.4635
1986 01 1 1986 01 31.9866
1987 01 1 1987 01 217.788
1988 01 1 1988 01 201.003
1989 01 1 1989 01 30.1977
1990 01 1 1990 01 17.4574
1991 01 1 1991 01 51.11
1992 01 1 1992 01 515.918
1993 01 1 1993 01 74.7815
1994 01 1 1994 01 39.6753
1995 01 1 1995 01 41.3667
1996 01 1 1996 01 38.7988
1997 01 1 1997 01 65.1036
1998 01 1 1998 01 53.3721
1999 01 1 1999 01 19.7903
2000 01 1 2000 01 8.91177
2001 01 1 2001 01 32.6705
2002 01 1 2002 01 36.3748
2003 01 1 2003 01 34.5114
2004 01 1 2004 01 6.32133
2005 01 1 2005 01 75.8081
2006 01 1 2006 01 16.8502
2007 01 1 2007 01 12.5871
2008 01 1 2008 01 48.5239
2009 01 1 2009 01 14.7676
2010 01 1 2010 01 18.9367
2011 01 1 2011 01 34.2234
2012 01 1 2012 01 10.5876
2013 01 1 2013 01 9.48223
2014 01 1 2014 01 21.445
2015 01 1 2015 01 18.3183
2016 01 1 2016 01 150.712
1982 01 2 1982 02 81.2058
1983 01 2 1983 02 114.809
1984 01 2 1984 02 43.0797
1985 01 2 1985 02 392.769
1986 01 2 1986 02 34.7513
1987 01 2 1987 02 446.744
1988 01 2 1988 02 123.424
1989 01 2 1989 02 29.0804
1990 01 2 1990 02 36.2476
1991 01 2 1991 02 158.939
1992 01 2 1992 02 759.294
1993 01 2 1993 02 103.206
1994 01 2 1994 02 89.1991
1995 01 2 1995 02 59.2564
1996 01 2 1996 02 50.3841
1997 01 2 1997 02 57.6217
1998 01 2 1998 02 60.5509
1999 01 2 1999 02 20.1961
2000 01 2 2000 02 11.1077
2001 01 2 2001 02 19.8964
2002 01 2 2002 02 25.4588
2003 01 2 2003 02 18.3696
2004 01 2 2004 02 6.97508
2005 01 2 2005 02 76.7803
2006 01 2 2006 02 19.2236
2007 01 2 2007 02 17.2338
2008 01 2 2008 02 71.9011
2009 01 2 2009 02 17.2583
2010 01 2 2010 02 153.295
2011 01 2 2011 02 42.9249
2012 01 2 2012 02 11.0012
2013 01 2 2013 02 12.5709
2014 01 2 2014 02 17.4742
2015 01 2 2015 02 10.2481
2016 01 2 2016 02 318.153
1982 01 3 1982 03 41.019
1983 01 3 1983 03 203.98
1984 01 3 1984 03 35.47
1985 01 3 1985 03 199.762
1986 01 3 1986 03 30.7301
1987 01 3 1987 03 240.764
1988 01 3 1988 03 43.9209
