Y	M	L	ENSO	(m,m0)_(CV)
1984 04 3 0 31.0296
1985 04 3 1 49.1506
1986 04 3 0 7.8557
1987 04 3 1 21.1679
1988 04 3 0 15.0989
1989 04 3 1 16.3974
1990 04 3 0 186.59
1991 04 3 0 5.46622
1992 04 3 1 161.949
1993 04 3 1 17.5884
1994 04 3 0 1.50621
1995 04 3 0 0.243737
1996 04 3 0 0.425098
1997 04 3 1 31.0712
1998 04 3 1 25.3227
1999 04 3 1 5.27422
2000 04 3 1 667.18
2001 04 3 0 131.251
2002 04 3 0 34.0749
2003 04 3 0 4.5261
2004 04 3 0 120.973
2005 04 3 1 44.0401
2006 04 3 0 20.6774
2007 04 3 0 50.8897
2008 04 3 1 5.87562
2009 04 3 0 3.61803
2010 04 3 1 3.84695
1984 05 4 0 77.0644
1985 05 4 0 108.53
1986 05 4 0 14.7713
1987 05 4 1 94.2716
1988 05 4 1 26.6653
1989 05 4 1 23.0681
1990 05 4 0 76.958
1991 05 4 1 31.4813
1992 05 4 1 159.33
1993 05 4 1 210.311
1994 05 4 1 2.91649
1995 05 4 0 19.7297
1996 05 4 0 23.1719
1997 05 4 1 36.375
1998 05 4 1 64.3616
1999 05 4 1 25.4545
2000 05 4 0 32.4742
2001 05 4 0 64.0339
2002 05 4 1 84.6326
2003 05 4 0 104.689
2004 05 4 0 111.592
2005 05 4 1 27.6419
2006 05 4 0 21.595
2007 05 4 0 24.8807
2008 05 4 0 31.801
2009 05 4 0 47.6379
2010 05 4 0 86.1129
1984 03 0 0 6.31 13.9
1985 03 0 1 59.2 57.5
1986 03 0 0 8.48 17.9
1987 03 0 1 109.0 124.1
1988 03 0 0 11.8 16.2
1989 03 0 1 9.39 29.6
1990 03 0 0 111.0 11.0
1991 03 0 0 6.23 14.3
1992 03 0 1 123.7 427.4
1993 03 0 1 33.6 47.1
1994 03 0 0 1.23 3.27
1995 03 0 0 0.042 0.038
1996 03 0 0 0.206 0.728
1997 03 0 0 30.5 142.6
1998 03 0 1 20.6 9.54
1999 03 0 1 2.89 0.005
2000 03 0 1 685.0 1.89
2001 03 0 0 114.6 81.4
2002 03 0 0 27.3 9.27
2003 03 0 1 5.66 9.79
2004 03 0 0 185.1 5.35
2005 03 0 0 78.3 88.5
2006 03 0 1 14.4 12.3
2007 03 0 0 76.3 34.0
2008 03 0 1 8.70 13.8
2009 03 0 1 16.5 23.9
2010 03 0 1 58.4 51.0
1984 03 1 0 11.6359
1985 03 1 1 18.7265
1986 03 1 0 2.47192
1987 03 1 1 197.259
1988 03 1 0 9.92886
1989 03 1 1 20.8441
1990 03 1 0 37.6102
1991 03 1 0 13.9046
1992 03 1 1 35.6521
1993 03 1 1 148.025
1994 03 1 0 14.2157
1995 03 1 0 27.5933
1996 03 1 0 3.39681
1997 03 1 0 26.2839
1998 03 1 1 10.0865
1999 03 1 1 5.08386
2000 03 1 1 33.2622
2001 03 1 0 48.5703
2002 03 1 0 26.2856
2003 03 1 1 2.47286
2004 03 1 0 12.323
2005 03 1 0 25.0877
2006 03 1 1 14.502
2007 03 1 0 108.134
2008 03 1 1 5.8039
2009 03 1 1 20.3174
2010 03 1 1 34.047
1984 04 2 0 0.200274
1985 04 2 1 2.38206
1986 04 2 0 4.08766
1987 04 2 1 42.6686
1988 04 2 0 35.9898
1989 04 2 1 51.62
1990 04 2 0 86.3891
1991 04 2 0 9.08236
