xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	2.2203058990573021
1984	-8.4308891935916748
1985	3.7818286803944114
1986	5.4546369153306626
1987	8.7223858483943744
1988	0.20354470422496518
1989	-0.36374785922659525
1990	3.0598186241851346
1991	1.3718714654151110
1992	3.1090654547651915
1993	3.1230112921279480
1994	2.5850895285493372
1995	6.7814998750592377
1996	2.1193025114906163
1997	6.5670000130413158
1998	-8.9117717231148781
1999	4.5935867814566800
2000	2.8365757615084704
2001	-0.70760257042322872
2002	-0.97814385891255062
2003	3.2142002846231201
2004	3.0221685786605597
2005	5.6865050409891129
2006	0.29662841592014999
2007	7.4139165266132316
2008	0.73924933583154617
2009	-3.8282619577389183
2010	5.4053706253670075
