xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=500
cpt:field=undefined, cpt:M=1, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-14.632498940967933
1984	-13.265015151051342
1985	-13.102946854923399
1986	-13.341239110187566
1987	-14.114836388784108
1988	-16.504985928403929
1989	-15.445511416192655
1990	-15.468606125240481
1991	-15.255749478836133
1992	-14.738531915812699
1993	-26.356282132347729
1994	-15.015269926088504
1995	-17.536002535437056
1996	-14.250298388321317
1997	-16.004396972318155
1998	-13.397699232191837
1999	-15.790925118014208
2000	-15.252013118742452
2001	-24.651327380363792
2002	-14.015943067210992
2003	-12.860451510970085
2004	-15.490492734909685
2005	-14.547351117497985
2006	-15.024727943851401
2007	-13.643023245498227
2008	-18.306126104197908
2009	-17.767471933647034
2010	-18.518270292237460
cpt:field=undefined, cpt:M=2, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-12.956516710520971
1984	-11.561971527351117
1985	-11.414517787739815
1986	-11.647534579594272
1987	-12.440277447920495
1988	-14.721658321258836
1989	-13.749842918191533
1990	-13.750824130091207
1991	-13.516650163111048
1992	-13.064875722523658
1993	-24.339351955523814
1994	-13.273392133130656
1995	-15.773146812781203
1996	-12.518743119809736
1997	-14.216875923371362
1998	-11.699327201070890
1999	-14.026297445649895
2000	-13.582153829213082
2001	-22.710369185038793
2002	-12.285883945316799
2003	-11.127621023127068
2004	-13.742542671907147
2005	-12.872353622595043
2006	-13.315695464753235
2007	-11.946190221395927
2008	-16.515042471027744
2009	-15.930714967048900
2010	-16.752262948688244
cpt:field=undefined, cpt:M=3, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-11.950629919506778
1984	-10.539843097538258
1985	-10.401160685623370
1986	-10.631011263144583
1987	-11.435244883261255
1988	-13.651345252605470
1989	-12.732140872732892
1990	-12.719850061647858
1991	-12.472881918931535
1992	-12.060384966628483
1993	-23.128835885359965
1994	-12.227956309488306
1995	-14.715120508164354
1996	-11.479502642873213
1997	-13.144046045386375
1998	-10.680002555918236
1999	-12.967207656722945
2000	-12.579941889446875
2001	-21.545449787255269
2002	-11.247541421886295
2003	-10.087615188266197
2004	-12.693462408533597
2005	-11.867057847677785
2006	-12.289972658801631
2007	-10.927789253596888
2008	-15.440074410222524
2009	-14.828334800099494
2010	-15.692345112186793
cpt:field=undefined, cpt:M=4, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1983	-11.222680625432339
1984	-9.8001399066995756
1985	-9.6678052089228395
1986	-9.8953644316819016
1987	-10.707913783478286
1988	-12.876771364445258
1989	-11.995641007949125
1990	-11.973745378658938
1991	-11.717518230576797
1992	-11.333445967935667
1993	-22.252798614949981
1994	-11.471385812073517
1995	-13.949438417059977
1996	-10.727415650263675
1997	-12.367650769777160
1998	-9.9423284334422775
1999	-12.200755933628457
2000	-11.854652045119368
2001	-20.702410331080355
2002	-10.496104268430285
2003	-9.3349743144786590
2004	-11.934254469854720
2005	-11.139536265503331
2006	-11.547668257174404
2007	-10.190783586342260
